"Macrosettore","Provincia","Comune","Inquinante","Valore"
"Agricoltura","CAGLIARI","NURRI","BAP ( kg ) ","0.1669"
"Agricoltura","CAGLIARI","ORROLI","BAP ( kg ) ","0.0137"
"Agricoltura","CAGLIARI","ORTACESUS","BAP ( kg ) ","0.3576"
"Agricoltura","CAGLIARI","PIMENTEL","BAP ( kg ) ","0.2222"
"Agricoltura","CAGLIARI","PULA","BAP ( kg ) ","0.0454"
"Agricoltura","CAGLIARI","QUARTU SANT'ELENA","BAP ( kg ) ","0.3089"
"Agricoltura","CAGLIARI","QUARTUCCIU","BAP ( kg ) ","0.2002"
"Agricoltura","CAGLIARI","SADALI","BAP ( kg ) ","0.0029"
"Agricoltura","CAGLIARI","SAMATZAI","BAP ( kg ) ","0.5642"
"Agricoltura","CAGLIARI","SAN BASILIO","BAP ( kg ) ","0.0305"
"Agricoltura","CAGLIARI","SAN NICOLO' GERREI","BAP ( kg ) ","0"
"Agricoltura","CAGLIARI","SAN SPERATE","BAP ( kg ) ","0.1446"
"Agricoltura","CAGLIARI","SAN VITO","BAP ( kg ) ","0.0066"
"Agricoltura","CAGLIARI","SANT'ANDREA FRIUS","BAP ( kg ) ","0.0019"
"Agricoltura","CAGLIARI","SARROCH","BAP ( kg ) ","0.0182"
"Agricoltura","CAGLIARI","SELARGIUS","BAP ( kg ) ","0.1451"
"Agricoltura","CAGLIARI","SELEGAS","BAP ( kg ) ","0.5127"
"Agricoltura","CAGLIARI","SENORBI'","BAP ( kg ) ","0.2042"
"Agricoltura","CAGLIARI","SERDIANA","BAP ( kg ) ","0.1078"
"Agricoltura","CAGLIARI","SERRI","BAP ( kg ) ","0.0012"
"Agricoltura","CAGLIARI","SESTU","BAP ( kg ) ","0.1042"
"Agricoltura","CAGLIARI","SETTIMO SAN PIETRO","BAP ( kg ) ","0.271"
"Agricoltura","CAGLIARI","SEULO","BAP ( kg ) ","0"
"Agricoltura","CAGLIARI","SILIQUA","BAP ( kg ) ","0.0319"
"Agricoltura","CAGLIARI","SILIUS","BAP ( kg ) ","0"
"Agricoltura","CAGLIARI","SINNAI","BAP ( kg ) ","0.2799"
"Agricoltura","CAGLIARI","SIURGUS DONIGALA","BAP ( kg ) ","0.0888"
"Agricoltura","CAGLIARI","SOLEMINIS","BAP ( kg ) ","0"
"Agricoltura","CAGLIARI","SUELLI","BAP ( kg ) ","1.2714"
"Agricoltura","CAGLIARI","TEULADA","BAP ( kg ) ","0"
"Agricoltura","CAGLIARI","USSANA","BAP ( kg ) ","0.0972"
"Agricoltura","CAGLIARI","UTA","BAP ( kg ) ","0.9078"
"Agricoltura","CAGLIARI","VALLERMOSA","BAP ( kg ) ","0.0063"
"Agricoltura","CAGLIARI","VILLA SAN PIETRO","BAP ( kg ) ","0.0424"
"Agricoltura","CAGLIARI","VILLANOVA TULO","BAP ( kg ) ","0"
"Agricoltura","CAGLIARI","VILLAPUTZU","BAP ( kg ) ","0.4022"
"Agricoltura","CAGLIARI","VILLASALTO","BAP ( kg ) ","0.0005"
"Agricoltura","CAGLIARI","VILLASIMIUS","BAP ( kg ) ","0.051"
"Agricoltura","CAGLIARI","VILLASOR","BAP ( kg ) ","0.9489"
"Agricoltura","CAGLIARI","VILLASPECIOSA","BAP ( kg ) ","0.077"
"Agricoltura","CAGLIARI","ARMUNGIA","BBF ( kg ) ","0"
"Agricoltura","CAGLIARI","ASSEMINI","BBF ( kg ) ","0.0162"
"Agricoltura","CAGLIARI","BALLAO","BBF ( kg ) ","0"
"Agricoltura","CAGLIARI","BARRALI","BBF ( kg ) ","0.0029"
"Agricoltura","CAGLIARI","BURCEI","BBF ( kg ) ","0.0002"
"Agricoltura","CAGLIARI","CAGLIARI","BBF ( kg ) ","0.0044"
"Agricoltura","CAGLIARI","CAPOTERRA","BBF ( kg ) ","0.0235"
"Agricoltura","CAGLIARI","CASTIADAS","BBF ( kg ) ","0.0071"
"Agricoltura","CAGLIARI","DECIMOMANNU","BBF ( kg ) ","0.0153"
"Agricoltura","CAGLIARI","DECIMOPUTZU","BBF ( kg ) ","0.016"
"Agricoltura","CAGLIARI","DOLIANOVA","BBF ( kg ) ","0.0013"
"Agricoltura","CAGLIARI","DOMUS DE MARIA","BBF ( kg ) ","0"
"Agricoltura","CAGLIARI","DONORI","BBF ( kg ) ","0.0017"
"Agricoltura","CAGLIARI","ELMAS","BBF ( kg ) ","0.0013"
"Agricoltura","CAGLIARI","ESCALAPLANO","BBF ( kg ) ","0"
"Agricoltura","CAGLIARI","ESCOLCA","BBF ( kg ) ","0.0052"
"Agricoltura","CAGLIARI","ESTERZILI","BBF ( kg ) ","0.0004"
"Agricoltura","CAGLIARI","GERGEI","BBF ( kg ) ","0.0297"
"Agricoltura","CAGLIARI","GESICO","BBF ( kg ) ","0.0066"
"Agricoltura","CAGLIARI","GONI","BBF ( kg ) ","0"
"Agricoltura","CAGLIARI","GUAMAGGIORE","BBF ( kg ) ","0.0606"
"Agricoltura","CAGLIARI","GUASILA","BBF ( kg ) ","0.1347"
"Agricoltura","CAGLIARI","ISILI","BBF ( kg ) ","0.0054"
"Agricoltura","CAGLIARI","MANDAS","BBF ( kg ) ","0.0783"
"Agricoltura","CAGLIARI","MARACALAGONIS","BBF ( kg ) ","0.0041"
"Agricoltura","CAGLIARI","MONASTIR","BBF ( kg ) ","0.0243"
"Agricoltura","CAGLIARI","MONSERRATO","BBF ( kg ) ","0.0008"
"Agricoltura","CAGLIARI","MURAVERA","BBF ( kg ) ","0.0387"
"Agricoltura","CAGLIARI","NURAGUS","BBF ( kg ) ","0.0001"
"Agricoltura","CAGLIARI","NURALLAO","BBF ( kg ) ","0"
"Agricoltura","CAGLIARI","NURAMINIS","BBF ( kg ) ","0.0615"
"Agricoltura","CAGLIARI","NURRI","BBF ( kg ) ","0.0144"
"Agricoltura","CAGLIARI","ORROLI","BBF ( kg ) ","0.0012"
"Agricoltura","CAGLIARI","ORTACESUS","BBF ( kg ) ","0.0308"
"Agricoltura","CAGLIARI","PIMENTEL","BBF ( kg ) ","0.0192"
"Agricoltura","CAGLIARI","PULA","BBF ( kg ) ","0.0039"
"Agricoltura","CAGLIARI","QUARTU SANT'ELENA","BBF ( kg ) ","0.0266"
"Agricoltura","CAGLIARI","QUARTUCCIU","BBF ( kg ) ","0.0173"
"Agricoltura","CAGLIARI","SADALI","BBF ( kg ) ","0.0002"
"Agricoltura","CAGLIARI","SAMATZAI","BBF ( kg ) ","0.0486"
"Agricoltura","CAGLIARI","SAN BASILIO","BBF ( kg ) ","0.0026"
"Agricoltura","CAGLIARI","SAN NICOLO' GERREI","BBF ( kg ) ","0"
"Agricoltura","CAGLIARI","SAN SPERATE","BBF ( kg ) ","0.0125"
"Agricoltura","CAGLIARI","SAN VITO","BBF ( kg ) ","0.0006"
"Agricoltura","CAGLIARI","SANT'ANDREA FRIUS","BBF ( kg ) ","0.0002"
"Agricoltura","CAGLIARI","SARROCH","BBF ( kg ) ","0.0016"
"Agricoltura","CAGLIARI","SELARGIUS","BBF ( kg ) ","0.0125"
"Agricoltura","CAGLIARI","SELEGAS","BBF ( kg ) ","0.0442"
"Agricoltura","CAGLIARI","SENORBI'","BBF ( kg ) ","0.0176"
"Agricoltura","CAGLIARI","SERDIANA","BBF ( kg ) ","0.0093"
"Agricoltura","CAGLIARI","SERRI","BBF ( kg ) ","0.0001"
"Agricoltura","CAGLIARI","SESTU","BBF ( kg ) ","0.009"
"Agricoltura","CAGLIARI","SETTIMO SAN PIETRO","BBF ( kg ) ","0.0234"
"Agricoltura","CAGLIARI","SEULO","BBF ( kg ) ","0"
"Agricoltura","CAGLIARI","SILIQUA","BBF ( kg ) ","0.0028"
"Agricoltura","CAGLIARI","SILIUS","BBF ( kg ) ","0"
"Agricoltura","CAGLIARI","SINNAI","BBF ( kg ) ","0.0241"
"Agricoltura","CAGLIARI","SIURGUS DONIGALA","BBF ( kg ) ","0.0077"
"Agricoltura","CAGLIARI","SOLEMINIS","BBF ( kg ) ","0"
"Agricoltura","CAGLIARI","SUELLI","BBF ( kg ) ","0.1096"
"Agricoltura","CAGLIARI","TEULADA","BBF ( kg ) ","0"
"Agricoltura","CAGLIARI","USSANA","BBF ( kg ) ","0.0084"
"Agricoltura","CAGLIARI","UTA","BBF ( kg ) ","0.0783"
"Agricoltura","CAGLIARI","VALLERMOSA","BBF ( kg ) ","0.0005"
"Agricoltura","CAGLIARI","VILLA SAN PIETRO","BBF ( kg ) ","0.0037"
"Agricoltura","CAGLIARI","VILLANOVA TULO","BBF ( kg ) ","0"
"Agricoltura","CAGLIARI","VILLAPUTZU","BBF ( kg ) ","0.0347"
"Agricoltura","CAGLIARI","VILLASALTO","BBF ( kg ) ","0"
"Agricoltura","CAGLIARI","VILLASIMIUS","BBF ( kg ) ","0.0044"
"Agricoltura","CAGLIARI","VILLASOR","BBF ( kg ) ","0.0818"
"Agricoltura","CAGLIARI","VILLASPECIOSA","BBF ( kg ) ","0.0066"
"Agricoltura","CAGLIARI","ARMUNGIA","BKF ( kg ) ","0"
"Agricoltura","CAGLIARI","ASSEMINI","BKF ( kg ) ","0.0582"
"Agricoltura","CAGLIARI","BALLAO","BKF ( kg ) ","0"
"Agricoltura","CAGLIARI","BARRALI","BKF ( kg ) ","0.0105"
"Agricoltura","CAGLIARI","BURCEI","BKF ( kg ) ","0.0006"
"Agricoltura","CAGLIARI","CAGLIARI","BKF ( kg ) ","0.016"
"Agricoltura","CAGLIARI","CAPOTERRA","BKF ( kg ) ","0.0846"
"Agricoltura","CAGLIARI","CASTIADAS","BKF ( kg ) ","0.0256"
"Agricoltura","CAGLIARI","DECIMOMANNU","BKF ( kg ) ","0.0549"
"Agricoltura","CAGLIARI","DECIMOPUTZU","BKF ( kg ) ","0.0577"
"Agricoltura","CAGLIARI","DOLIANOVA","BKF ( kg ) ","0.0046"
"Agricoltura","CAGLIARI","DOMUS DE MARIA","BKF ( kg ) ","0"
"Agricoltura","CAGLIARI","DONORI","BKF ( kg ) ","0.0061"
"Agricoltura","CAGLIARI","ELMAS","BKF ( kg ) ","0.0046"
"Agricoltura","CAGLIARI","ESCALAPLANO","BKF ( kg ) ","0"
"Agricoltura","CAGLIARI","ESCOLCA","BKF ( kg ) ","0.0186"
"Agricoltura","CAGLIARI","ESTERZILI","BKF ( kg ) ","0.0015"
"Agricoltura","CAGLIARI","GERGEI","BKF ( kg ) ","0.1069"
"Agricoltura","CAGLIARI","GESICO","BKF ( kg ) ","0.0238"
"Agricoltura","CAGLIARI","GONI","BKF ( kg ) ","0"
"Agricoltura","CAGLIARI","GUAMAGGIORE","BKF ( kg ) ","0.2181"
"Agricoltura","CAGLIARI","GUASILA","BKF ( kg ) ","0.4849"
"Agricoltura","CAGLIARI","ISILI","BKF ( kg ) ","0.0195"
"Agricoltura","CAGLIARI","MANDAS","BKF ( kg ) ","0.282"
"Agricoltura","CAGLIARI","MARACALAGONIS","BKF ( kg ) ","0.0147"
"Agricoltura","CAGLIARI","MONASTIR","BKF ( kg ) ","0.0874"
"Agricoltura","CAGLIARI","MONSERRATO","BKF ( kg ) ","0.0028"
"Agricoltura","CAGLIARI","MURAVERA","BKF ( kg ) ","0.1394"
"Agricoltura","CAGLIARI","NURAGUS","BKF ( kg ) ","0.0004"
"Agricoltura","CAGLIARI","NURALLAO","BKF ( kg ) ","0.0001"
"Agricoltura","CAGLIARI","NURAMINIS","BKF ( kg ) ","0.2213"
"Agricoltura","CAGLIARI","NURRI","BKF ( kg ) ","0.0518"
"Agricoltura","CAGLIARI","ORROLI","BKF ( kg ) ","0.0042"
"Agricoltura","CAGLIARI","ORTACESUS","BKF ( kg ) ","0.111"
"Agricoltura","CAGLIARI","PIMENTEL","BKF ( kg ) ","0.069"
"Agricoltura","CAGLIARI","PULA","BKF ( kg ) ","0.0141"
"Agricoltura","CAGLIARI","QUARTU SANT'ELENA","BKF ( kg ) ","0.0959"
"Agricoltura","CAGLIARI","QUARTUCCIU","BKF ( kg ) ","0.0621"
"Agricoltura","CAGLIARI","SADALI","BKF ( kg ) ","0.0009"
"Agricoltura","CAGLIARI","SAMATZAI","BKF ( kg ) ","0.1751"
"Agricoltura","CAGLIARI","SAN BASILIO","BKF ( kg ) ","0.0095"
"Agricoltura","CAGLIARI","SAN NICOLO' GERREI","BKF ( kg ) ","0"
"Agricoltura","CAGLIARI","SAN SPERATE","BKF ( kg ) ","0.0449"
"Agricoltura","CAGLIARI","SAN VITO","BKF ( kg ) ","0.002"
"Agricoltura","CAGLIARI","SANT'ANDREA FRIUS","BKF ( kg ) ","0.0006"
"Agricoltura","CAGLIARI","SARROCH","BKF ( kg ) ","0.0057"
"Agricoltura","CAGLIARI","SELARGIUS","BKF ( kg ) ","0.045"
"Agricoltura","CAGLIARI","SELEGAS","BKF ( kg ) ","0.1591"
"Agricoltura","CAGLIARI","SENORBI'","BKF ( kg ) ","0.0634"
"Agricoltura","CAGLIARI","SERDIANA","BKF ( kg ) ","0.0335"
"Agricoltura","CAGLIARI","SERRI","BKF ( kg ) ","0.0004"
"Agricoltura","CAGLIARI","SESTU","BKF ( kg ) ","0.0324"
"Agricoltura","CAGLIARI","SETTIMO SAN PIETRO","BKF ( kg ) ","0.0841"
"Agricoltura","CAGLIARI","SEULO","BKF ( kg ) ","0"
"Agricoltura","CAGLIARI","SILIQUA","BKF ( kg ) ","0.0099"
"Agricoltura","CAGLIARI","SILIUS","BKF ( kg ) ","0"
"Agricoltura","CAGLIARI","SINNAI","BKF ( kg ) ","0.0869"
"Agricoltura","CAGLIARI","SIURGUS DONIGALA","BKF ( kg ) ","0.0276"
"Agricoltura","CAGLIARI","SOLEMINIS","BKF ( kg ) ","0"
"Agricoltura","CAGLIARI","SUELLI","BKF ( kg ) ","0.3946"
"Agricoltura","CAGLIARI","TEULADA","BKF ( kg ) ","0"
"Agricoltura","CAGLIARI","USSANA","BKF ( kg ) ","0.0302"
"Agricoltura","CAGLIARI","UTA","BKF ( kg ) ","0.2817"
"Agricoltura","CAGLIARI","VALLERMOSA","BKF ( kg ) ","0.002"
"Agricoltura","CAGLIARI","VILLA SAN PIETRO","BKF ( kg ) ","0.0132"
"Agricoltura","CAGLIARI","VILLANOVA TULO","BKF ( kg ) ","0"
"Agricoltura","CAGLIARI","VILLAPUTZU","BKF ( kg ) ","0.1248"
"Agricoltura","CAGLIARI","VILLASALTO","BKF ( kg ) ","0.0001"
"Agricoltura","CAGLIARI","VILLASIMIUS","BKF ( kg ) ","0.0158"
"Agricoltura","CAGLIARI","VILLASOR","BKF ( kg ) ","0.2945"
"Agricoltura","CAGLIARI","VILLASPECIOSA","BKF ( kg ) ","0.0239"
"Agricoltura","CAGLIARI","ARMUNGIA","C6H6 ( kg ) ","0"
"Agricoltura","CAGLIARI","ASSEMINI","C6H6 ( kg ) ","0.0962"
"Agricoltura","CAGLIARI","BALLAO","C6H6 ( kg ) ","0"
"Agricoltura","CAGLIARI","BARRALI","C6H6 ( kg ) ","0.0173"
"Agricoltura","CAGLIARI","BURCEI","C6H6 ( kg ) ","0.0009"
"Agricoltura","CAGLIARI","CAGLIARI","C6H6 ( kg ) ","0.0264"
"Agricoltura","CAGLIARI","CAPOTERRA","C6H6 ( kg ) ","0.1398"
"Agricoltura","CAGLIARI","CASTIADAS","C6H6 ( kg ) ","0.0424"
"Agricoltura","CAGLIARI","DECIMOMANNU","C6H6 ( kg ) ","0.0908"
"Agricoltura","CAGLIARI","DECIMOPUTZU","C6H6 ( kg ) ","0.0954"
"Agricoltura","CAGLIARI","DOLIANOVA","C6H6 ( kg ) ","0.0075"
"Agricoltura","CAGLIARI","DOMUS DE MARIA","C6H6 ( kg ) ","0"
"Agricoltura","CAGLIARI","DONORI","C6H6 ( kg ) ","0.0101"
"Agricoltura","CAGLIARI","ELMAS","C6H6 ( kg ) ","0.0077"
"Agricoltura","CAGLIARI","ESCALAPLANO","C6H6 ( kg ) ","0"
"Agricoltura","CAGLIARI","ESCOLCA","C6H6 ( kg ) ","0.0308"
"Agricoltura","CAGLIARI","ESTERZILI","C6H6 ( kg ) ","0.0024"
"Agricoltura","CAGLIARI","GERGEI","C6H6 ( kg ) ","0.1767"
"Agricoltura","CAGLIARI","GESICO","C6H6 ( kg ) ","0.0394"
"Agricoltura","CAGLIARI","GONI","C6H6 ( kg ) ","0"
"Agricoltura","CAGLIARI","GUAMAGGIORE","C6H6 ( kg ) ","0.3604"
"Agricoltura","CAGLIARI","GUASILA","C6H6 ( kg ) ","0.8014"
"Agricoltura","CAGLIARI","ISILI","C6H6 ( kg ) ","0.0323"
"Agricoltura","CAGLIARI","MANDAS","C6H6 ( kg ) ","0.466"
"Agricoltura","CAGLIARI","MARACALAGONIS","C6H6 ( kg ) ","0.0242"
"Agricoltura","CAGLIARI","MONASTIR","C6H6 ( kg ) ","0.1444"
"Agricoltura","CAGLIARI","MONSERRATO","C6H6 ( kg ) ","0.0046"
"Agricoltura","CAGLIARI","MURAVERA","C6H6 ( kg ) ","0.2304"
"Agricoltura","CAGLIARI","NURAGUS","C6H6 ( kg ) ","0.0006"
"Agricoltura","CAGLIARI","NURALLAO","C6H6 ( kg ) ","0.0002"
"Agricoltura","CAGLIARI","NURAMINIS","C6H6 ( kg ) ","0.3658"
"Agricoltura","CAGLIARI","NURRI","C6H6 ( kg ) ","0.0856"
"Agricoltura","CAGLIARI","ORROLI","C6H6 ( kg ) ","0.007"
"Agricoltura","CAGLIARI","ORTACESUS","C6H6 ( kg ) ","0.1834"
"Agricoltura","CAGLIARI","PIMENTEL","C6H6 ( kg ) ","0.114"
"Agricoltura","CAGLIARI","PULA","C6H6 ( kg ) ","0.0233"
"Agricoltura","CAGLIARI","QUARTU SANT'ELENA","C6H6 ( kg ) ","0.1585"
"Agricoltura","CAGLIARI","QUARTUCCIU","C6H6 ( kg ) ","0.1027"
"Agricoltura","CAGLIARI","SADALI","C6H6 ( kg ) ","0.0015"
"Agricoltura","CAGLIARI","SAMATZAI","C6H6 ( kg ) ","0.2894"
"Agricoltura","CAGLIARI","SAN BASILIO","C6H6 ( kg ) ","0.0157"
"Agricoltura","CAGLIARI","SAN NICOLO' GERREI","C6H6 ( kg ) ","0"
"Agricoltura","CAGLIARI","SAN SPERATE","C6H6 ( kg ) ","0.0742"
"Agricoltura","CAGLIARI","SAN VITO","C6H6 ( kg ) ","0.0034"
"Agricoltura","CAGLIARI","SANT'ANDREA FRIUS","C6H6 ( kg ) ","0.001"
"Agricoltura","CAGLIARI","SARROCH","C6H6 ( kg ) ","0.0094"
"Agricoltura","CAGLIARI","SELARGIUS","C6H6 ( kg ) ","0.0744"
"Agricoltura","CAGLIARI","SELEGAS","C6H6 ( kg ) ","0.263"
"Agricoltura","CAGLIARI","SENORBI'","C6H6 ( kg ) ","0.1047"
"Agricoltura","CAGLIARI","SERDIANA","C6H6 ( kg ) ","0.0553"
"Agricoltura","CAGLIARI","SERRI","C6H6 ( kg ) ","0.0006"
"Agricoltura","CAGLIARI","SESTU","C6H6 ( kg ) ","0.0535"
"Agricoltura","CAGLIARI","SETTIMO SAN PIETRO","C6H6 ( kg ) ","0.139"
"Agricoltura","CAGLIARI","SEULO","C6H6 ( kg ) ","0"
"Agricoltura","CAGLIARI","SILIQUA","C6H6 ( kg ) ","0.0164"
"Agricoltura","CAGLIARI","SILIUS","C6H6 ( kg ) ","0"
"Agricoltura","CAGLIARI","SINNAI","C6H6 ( kg ) ","0.1436"
"Agricoltura","CAGLIARI","SIURGUS DONIGALA","C6H6 ( kg ) ","0.0456"
"Agricoltura","CAGLIARI","SOLEMINIS","C6H6 ( kg ) ","0"
"Agricoltura","CAGLIARI","SUELLI","C6H6 ( kg ) ","0.6521"
"Agricoltura","CAGLIARI","TEULADA","C6H6 ( kg ) ","0"
"Agricoltura","CAGLIARI","USSANA","C6H6 ( kg ) ","0.0498"
"Agricoltura","CAGLIARI","UTA","C6H6 ( kg ) ","0.4656"
"Agricoltura","CAGLIARI","VALLERMOSA","C6H6 ( kg ) ","0.0032"
"Agricoltura","CAGLIARI","VILLA SAN PIETRO","C6H6 ( kg ) ","0.0217"
