"Macrosettore","Provincia","Comune","Inquinante","Valore"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","PIMENTEL","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","PULA","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","QUARTU SANT'ELENA","BBF ( kg ) ","0.0001"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","QUARTUCCIU","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SADALI","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SAMATZAI","BBF ( kg ) ","0.1178"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SAN BASILIO","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SAN NICOLO' GERREI","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SAN SPERATE","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SAN VITO","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SANT'ANDREA FRIUS","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SARROCH","BBF ( kg ) ","0.0262"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SELARGIUS","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SELEGAS","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SENORBI'","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SERDIANA","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SERRI","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SESTU","BBF ( kg ) ","0.0001"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SETTIMO SAN PIETRO","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SEULO","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SILIQUA","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SILIUS","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SINNAI","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SIURGUS DONIGALA","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SOLEMINIS","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SUELLI","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","TEULADA","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","USSANA","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","UTA","BBF ( kg ) ","0.0001"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VALLERMOSA","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLA SAN PIETRO","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLANOVA TULO","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLAPUTZU","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLASALTO","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLASIMIUS","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLASOR","BBF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","VILLASPECIOSA","BBF ( kg ) ","0.0004"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ARMUNGIA","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ASSEMINI","BKF ( kg ) ","0.004"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","BALLAO","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","BARRALI","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","BURCEI","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","CAGLIARI","BKF ( kg ) ","0.0003"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","CAPOTERRA","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","CASTIADAS","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DECIMOMANNU","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DECIMOPUTZU","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DOLIANOVA","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DOMUS DE MARIA","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DONORI","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ELMAS","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ESCALAPLANO","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ESCOLCA","BKF ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ESTERZILI","BKF ( kg ) ","0"
